No,Produk,Gambar,Link Beli,Rekomendasi
1,Oilum Body Wash Hydrating Care,https://drive.google.com/file/d/1M4IXq8A8JAfnYQvgdZtgRGae9s8oC50_/view?usp=sharing,https://www.tokopedia.com/mrgudik/sabun-collagen-oilum-body-wash-hydrating-care-bottle?src=topads,11
2,Skin Aqua UV Moisture Milk,https://drive.google.com/file/d/1vElCPgfvFcGivhDG2jjEhsc-ay88MsX2/view?usp=sharing,https://www.tokopedia.com/sqinbeauty/skin-aqua-uv-moisture-milk-spf50-40ml-sunscreen-sunblok?src=topads,11
3,Wardah Hydrating Aloe Vera Gel,https://drive.google.com/file/d/1ucc0l_3PmnJWKAwsh33HtnC2XHfhN3sK/view?usp=sharing,https://shopee.co.id/Wardah-Hydrating-Aloe-Vera-Gel-i.5139506.1000629366?sp_atk=043f11ea-3421-4d91-8e55-ea0fa2b3eb8f&xptdk=043f11ea-3421-4d91-8e55-ea0fa2b3eb8f,11
4,Nivea Face Wash Honey Dry Skin,https://drive.google.com/file/d/13lgMNt5gwsnrf-w7KJRq8GT_mgbPDzu8/view?usp=sharing,https://www.amazon.com/NIVEA-Delights-Moisturizing-Honey-100ml/dp/B07LCSBVJY,11
5,Mustika Ratu Minyak Zaitun,https://drive.google.com/file/d/15JxsK6705AXxhhFJByMBDo1ZZNv3lDs7/view?usp=sharing,https://www.tokopedia.com/mustika-ratu/mustika-ratu-best-seller-perawatan-kulit-minyak-zaitun-175ml?extParam=ivf%3Dfalse%26src%3Dsearch,11
6,Wardah Hydrating Aloe Vera Gel,https://drive.google.com/file/d/1W8uGmizE7cHgoOrTVY58thuYQOFv3SJo/view?usp=sharing,https://www.tokopedia.com/mimistore28/wardah-aloe-hydramild-multifunction-gel-100ml,11
7,Wardah Nature Daily Mineral + Clarifying Facial Foam,https://drive.google.com/file/d/1iz3enrY-nwWLlDbiSUPcjMmHTS2gbTZI/view?usp=sharing,https://www.tokopedia.com/beautykartika/wardah-nature-daily-mineral-clarifying-facial-foam-100ml,12
8,Wardah Lightening Series,https://drive.google.com/file/d/15dmgXTG3UOsjoWzVXKe-at9sJr2WMnQ8/view?usp=sharing,https://shopee.co.id/Wardah-Lightening-Series-Original-100--i.158870484.5233794439,12
9,Brightening lengkap/inusa skincare for normal skin,https://drive.google.com/file/d/1gvP0DpjGDE9L8VmefmfqmU1eJ7RcZl5-/view?usp=sharing,https://shopee.co.id/Brightening-lengkap-inusa-skincare-for-normal-skin-i.201780068.5224696751,12
10,Ponds Men White Boost,https://drive.google.com/file/d/1B2mdqiuhfAJ3okOsKC5h_K4xkKK3igP9/view?usp=sharing,https://www.tokopedia.com/watsons/ponds-men-face-scrub-white-boost-50ml?extParam=ivf%3Dfalse%26src%3Dsearch,12
11,Somethinc Hyluronic Acid,https://drive.google.com/file/d/1oHclf0arz1UqLBD6uSY9b8KRkSQ6FPGw/view?usp=sharing,https://www.tokopedia.com/ladylipstique/somethinc-hyaluronic-9-advanced-b5-serum-original-bpom,12
12,Skin Aqua UV Milk,https://drive.google.com/file/d/1biHHnumWDH1h3sxc4YjErIn0tqD18o3J/view?usp=sharing,https://shopee.co.id/Skin-Aqua-UV-Moisture-Milk-SPF-50-PA--i.15452541.573389100,12
13,Erha 2 Facial Wash for Oily Skin,https://drive.google.com/file/d/1GgtslUESPSQOzTeBaQUY2Wwlco5Vw4gV/view?usp=sharing,https://www.tokopedia.com/charmed-id/erha-2-erha21-facial-wash-for-oily-skin-60ml-sabun-wajah-berminyak,13
14,Wardah Crystallure Supreme Revitalizing Oil,https://drive.google.com/file/d/1pBAneYkNRF4UfTxEzHo7hqMzEKz7rMFJ/view?usp=sharing,Jual Wardah Crystallure Supreme Revitalizing Oil Serum Indonesia|Shopee Indonesia,13
15,ElsheSkin Deep Cleansing,https://drive.google.com/file/d/1N-ZMSnC6RZGbYbNO3VbG8XksLlWm3APz/view?usp=sharinghttps://drive.google.com/file/d/1N-ZMSnC6RZGbYbNO3VbG8XksLlWm3APz/view?usp=sharing,https://shopee.co.id/ElsheSkin-Deep-Cleansing-i.9035345.837403065?sp_atk=2a6464fe-54c0-4819-b750-84cd56da8bb3&xptdk=2a6464fe-54c0-4819-b750-84cd56da8bb3,13
16,Garnier Men Oil Clear Face Wash,https://drive.google.com/file/d/1tkTT-EClTqjD35flfpHWksf4VXjI0yRN/view?usp=sharing,https://www.tokopedia.com/exborders/garnier-men-oil-clear-face-wash-100g-100gm,13
17,Avoskin Your Skin Bae Toner Salicylic Acid,https://drive.google.com/file/d/1m_mxtGa9tMiKA_JKhljt6zE7L_OZKfix/view?usp=sharing,https://www.tokopedia.com/avoskinofficial/avoskin-yor-skin-bae-toner-salicylic-acid-1-zinc-tea-tree-water?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D7377294,13
18,St. Ives Fresh Skin Apricot Scrub,https://drive.google.com/file/d/18U8Q7LhuGn_nJcxBXZuHZAhv4XEyprnG/view?usp=sharing,https://shopee.co.id/St--Ives---St-Ives-Apricot-Scrub-170gr---Share-30gr-i.5879194.398455393?gclid=Cj0KCQjw4PKTBhD8ARIsAHChzRKZym9Tbej6JV6fnd-pNLlsFQAX0FzdGGy7HbxM0PCuEO_5R4Y4mMMaAkdnEALw_wcB,13
19,Sensatia Botanicals Surf Naked Sunscreen Lotion,https://drive.google.com/file/d/1Mjd6vQG8iSfHiMBv-WvZoGe--pY1ggk_/view?usp=sharing,https://www.tokopedia.com/sensatia/sensatia-botanicals-surf-naked-sunscreen-lotion-100ml,14
20,Wardah Lightening Facial Whip Foam,https://drive.google.com/file/d/1bW78fCowjCEUQkGT8E_Z9Wbe1EzqnaR7/view?usp=sharing,Promo Wardah Lightening Whip Facial Foam - Pembersih Wajah - 100 ml - - Wardah Official | Tokopedia,14
21,NOW® - Grapeseed Sensitive Skin Care Oil - 118 ml,https://drive.google.com/file/d/1ehTpkZIXoKypIFg7azAJAmMLM-rRfHIR/view?usp=sharing,https://www.tokopedia.com/orifix/now-solutions-grapeseed-oil-100-pure-sensitive-skin-care-118-ml,14
22,pond's men white boost,https://drive.google.com/file/d/1B2mdqiuhfAJ3okOsKC5h_K4xkKK3igP9/view?usp=sharing,https://www.tokopedia.com/watsons/ponds-men-face-scrub-white-boost-50ml?extParam=ivf%3Dfalse%26src%3Dsearch,14
23,Vaseline Petroleum Jelly,https://drive.google.com/file/d/18uPgM3gYryuPGIQehWgE7msBKu6cNz5J/view?usp=sharing,https://www.tokopedia.com/unilevermall/vaseline-petroleum-jelly-original-100ml-repairing-jelly-kulit-rusak?extParam=ivf%3Dfalse%26src%3Dsearch,14
24,Toner Skin 1004,https://drive.google.com/file/d/1yRJW-XsvQz8jhOVeEb0hYIewA-nm2rC3/view?usp=sharing,https://www.tokopedia.com/reinecosmeticid/skin1004-madagascar-centella-asiatica-toning-toner-400ml-210ml-30ml-210ml,14
25,Virgin Coconut Oil VCO Saheela,https://drive.google.com/file/d/1cMas1YpKqDYZ_DdwvduvKelGYGm3BXWy/view?usp=sharing,https://www.tokopedia.com/fudholahshop/virgin-coconut-oil-vco-saheela-500-ml?utm_campaign=Product%2520Share&utm_source=Desktop&utm_medium=Share&_branch_match_id=1024519773795908989&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXL8nPzi9ITclM1MvJzMvWT0vKL68M9CuNKkgCABKBuQIiAAAA,21
26,Wardah Seaweed Cleansing Micellar Water,https://drive.google.com/file/d/1LTvOykYnhPIBhz51QPP1IKyZ8mmqhOhu/view?usp=sharing,https://www.wardahbeauty.com/id/product/skincare/wardah-nature-daily-seaweed-cleansing-micellar-water,21
27,YOU Hy! Amino Anti Acne Facial Wash Sabun Cuci Muka Acnes Facial Wash Bekas Jerawat,https://drive.google.com/file/d/1QM7JD5ok4DKT2D4WyFphmBqQa7WCOkMB/view?usp=sharing,https://shopee.co.id/YOU-Hy!-Amino-Anti-Acne-Facial-Wash-Sabun-Cuci-Muka-Acnes-Facial-Wash-Bekas-Jerawat-i.72375863.14266733286?sp_atk=53b229fa-e191-438e-bd8a-de34835341b4&xptdk=53b229fa-e191-438e-bd8a-de34835341b4,21
28,Erha Acneact Acne Sunscreen SPF 30,https://drive.google.com/file/d/1Z7ug9CpX0F_NBc8yAXik8iK5ToTuWzRm/view?usp=sharing,https://www.tokopedia.com/erha-store/erha-acneact-acne-sun-friendly-spf-30-pa-30g-sunscreen-sunblock?src=topads,21
