No,Produk,Gambar,Link Beli,Rekomendasi
31,Emina Sun Protection Sunscreen SPF 30,Gambar/22_Black Spots/1.png,https://www.tokopedia.com/bellsneedbag/emina-sun-protection-sunscreen-spf-30-6ml,22
32,Wardah White Secret Series,Gambar/22_Black Spots/2.png,https://www.tokopedia.com/joeragancosmetic-1/wardah-white-secret-series-day-cream-serum-facial-wash-night-cream-f-wash-aha100ml?extParam=ivf%3Dfalse%26src%3Dsearch,22
33,GEN Acne-&-Black-Spots-GEL,Gambar/22_Black Spots/3.png,https://shopee.co.id/GEN-Acne-Black-Spots-GEL-(For-All-Skin-Types)-10gr-i.188839838.4512959464?sp_atk=9f56c667-1ddc-42cc-810f-25f1300d599f&xptdk=9f56c667-1ddc-42cc-810f-25f1300d599f,22
34,NIVEA MEN Personal Care Men Extra White Dark Spot Minimizer Facial Foam,Gambar/22_Black Spots/4.png,https://shopee.co.id/NIVEA-MEN-Personal-Care-Men-Extra-White-Dark-Spot-Minimizer-Facial-Foam-100-ml-i.39283823.606323140,22
35,Mugwortella Charcoal Deep Pore Cleansing 10 Minutes Wash Off Mask,Gambar/22_Black Spots/5.png,https://www.tokopedia.com/somethinc/mugwortella-charcoal-deep-pore-cleansing-10-minutes-wash-off-mask-60gr-spatula?extParam=ivf%3Dfalse%26src%3Dsearch,22
36,Scarlet Whitening Serum,Gambar/22_Black Spots/6.png,https://www.tokopedia.com/msglowindonesiastore/scarlett-whitening-glowtening-serum?src=topads,22
37,Bioderma Sensibio Eye Contour Gel,Gambar/23_Puff Eyes/1.png,https://www.tokopedia.com/watsons/bioderma-sensibio-eye-contour-gel-15ml?extParam=ivf%3Dfalse%26src%3Dsearch,23
38,Whitelab Eye Cream,Gambar/23_Puff Eyes/2.png,https://www.tokopedia.com/bueno/whitelab-skincare-perawatan-wajah-tubuh-white-lab-niacinamide-collagen-facial-wash?src=topads,23
39,REAL WHITE Intensive Whitening Lifting Repair Eye Cream,Gambar/23_Puff Eyes/3.png,https://shopee.co.id/REAL-WHITE-Intensive-Whitening-Lifting-Repair-Eye-Cream-BPOM-HALAL-Skincare-Krim-Kantong-Lingkar-Hitam-Mata-Panda-Eyebag-Firming-Anti-Aging-Wrinkle-Kerutan-Keriput-Garis-Halus-Pemutih-Pencerah-Memutihkan-Mencerahkan-Kulit-Apotek-Farmasi-Klinik-Dokter-i.349337394.3880485717,23
40,EYE TREATMENT SERUM MS GLOW,Gambar/23_Puff Eyes/4.png,https://shopee.co.id/EYE-TREATMENT-SERUM-MS-GLOW-i.172471447.5115343536,23
41,Wardah Renew You Anti Aging Eye Cream,Gambar/23_Puff Eyes/5.png,https://www.tokopedia.com/wardah-official/wardah-renew-you-anti-aging-eye-cream-10-ml-krim-mata,23
42,Garnier Eye Serum Mask,Gambar/23_Puff Eyes/6.png,https://shopee.co.id/Garnier-Eye-Serum-Mask-i.140789817.6753804367,23
43,Elemence Vera Gel,Gambar/24_Wrinkles/1.png,https://www.tokopedia.com/synergypusat/elemence-vera-gel,24
44,Wardah Renew You Anti Aging,Gambar/24_Wrinkles/2.png,Jual Wardah Renew You Anti Aging Paket Terlengkap 7 produk Indonesia|Shopee Indonesia,24
45,Loreal paris revitalift triple action day night cream,Gambar/24_Wrinkles/3.png,https://shopee.co.id/Loreal-paris-revitalift-triple-action-day-night-cream-laser-X3-power-water-eye-cream-toner-i.10672688.2675408563?sp_atk=b69ae7db-4726-47c9-ad12-7953243e7a37&xptdk=b69ae7db-4726-47c9-ad12-7953243e7a37,24
46,Wardah Renew You Anti Aging Day Cream,Gambar/24_Wrinkles/4.png,https://shopee.co.id/New!-Wardah-Renew-You-Anti-Aging-Day-Cream-Pelembab-Anti-Aging-dengan-SPF-30-PA-Peptide-i.59763733.1080226673,24
47,Olay Regenerist Retinol 24 Serum Night,Gambar/24_Wrinkles/5.png,https://www.tokopedia.com/olayofficial/olay-regenerist-retinol-24-serum-30ml?extParam=ivf%3Dfalse%26src%3Dsearch,24
48,Noera Drink Kolagen,Gambar/24_Wrinkles/6.png,https://shopee.co.id/Noera-Collagen-Drink-Noeraskincare-Suplemen-Pemutih-Kulit-BPOM-Noera-Drink-Me-Collagen-Detox-Pemutih-Badan-i.371026450.12145758619,24
